"nutrient_id"	"amount"	"fdc_id"	"name"	"unit_name"	"NDB_number"	"Food_Name"
1166	0.18	167714	"Riboflavin"	"MG"	43392	"Palm hearts, raw†"
1177	24	167714	"Folate, total"	"UG"	43392	"Palm hearts, raw†"
1178	0	167714	"Vitamin B-12"	"UG"	43392	"Palm hearts, raw†"
1258	0.046	167714	"Fatty acids, total saturated"	"G"	43392	"Palm hearts, raw†"
1261	0	167714	"SFA 8:0"	"G"	43392	"Palm hearts, raw†"
1263	0.001	167714	"SFA 12:0"	"G"	43392	"Palm hearts, raw†"
1264	0.001	167714	"SFA 14:0"	"G"	43392	"Palm hearts, raw†"
1272	0	167714	"PUFA 22:6 n-3 (DHA)"	"G"	43392	"Palm hearts, raw†"
1275	0	167714	"MUFA 16:1"	"G"	43392	"Palm hearts, raw†"
1278	0	167714	"PUFA 2:5 n-3 (EPA)"	"G"	43392	"Palm hearts, raw†"
1280	0	167714	"PUFA 22:5 n-3 (DPA)"	"G"	43392	"Palm hearts, raw†"
1106	3	167714	"Vitamin A, RAE"	"UG"	43392	"Palm hearts, raw†"
1003	2.7	167714	"Protein"	"G"	43392	"Palm hearts, raw†"
1018	0	167714	"Alcohol, ethyl"	"G"	43392	"Palm hearts, raw†"
1062	481	167714	"Energy"	"kJ"	43392	"Palm hearts, raw†"
1079	1.5	167714	"Fiber, total dietary"	"G"	43392	"Palm hearts, raw†"
1089	1.69	167714	"Iron, Fe"	"MG"	43392	"Palm hearts, raw†"
1090	10	167714	"Magnesium, Mg"	"MG"	43392	"Palm hearts, raw†"
1091	140	167714	"Phosphorus, P"	"MG"	43392	"Palm hearts, raw†"
1093	14	167714	"Sodium, Na"	"MG"	43392	"Palm hearts, raw†"
1098	0.644	167714	"Copper, Cu"	"MG"	43392	"Palm hearts, raw†"
1104	68	167714	"Vitamin A, IU"	"IU"	43392	"Palm hearts, raw†"
1190	24	167714	"Folate, DFE"	"UG"	43392	"Palm hearts, raw†"
